 10 
 100 475 
 43 98 -85 
 44 49 -2 
 44 51 43 
 44 53 23 
 44 61 24 
 44 74 10 
 44 86 -52 
 44 91 19 
 44 99 19 
 45 54 84 
 45 61 -27 
 45 81 60 
 46 50 -95 
 46 70 1 
 46 80 -88 
 46 89 87 
 47 47 -55 
 47 71 60 
 47 82 -25 
 47 93 -54 
 48 53 58 
 48 61 -31 
 48 68 20 
 48 74 -88 
 49 71 74 
 49 73 -51 
 49 90 -26 
 50 53 69 
 50 60 -40 
 50 71 -1 
 50 74 -14 
 50 76 -29 
 50 95 -6 
 51 58 35 
 51 64 11 
 51 75 -39 
 51 81 96 
 51 83 -5 
 51 86 -21 
 51 97 -49 
 52 68 -69 
 52 79 -8 
 53 59 -39 
 53 73 91 
 53 87 -20 
 54 59 -1 
 54 74 33 
 54 89 49 
 55 57 24 
 55 62 92 
 55 87 35 
 55 92 35 
 56 59 80 
 56 60 36 
 56 66 1 
 56 73 14 
 56 86 65 
 56 87 -85 
 56 91 -70 
 56 93 75 
 57 78 17 
 57 96 -14 
 57 98 6 
 58 76 82 
 58 77 38 
 58 90 25 
 58 94 26 
 59 74 39 
 60 72 -72 
 60 73 -99 
 60 78 -57 
 60 85 78 
 60 92 -28 
 61 70 15 
 61 97 -84 
 62 91 86 
 63 67 -77 
 63 78 43 
 63 83 -12 
 63 94 -86 
 63 95 -81 
 64 68 -48 
 64 74 -51 
 64 81 -75 
 64 85 -53 
 65 81 2 
 65 88 -68 
 65 89 -3 
 65 90 -66 
 65 95 89 
 65 98 -90 
 66 70 -76 
 66 100 -97 
 67 67 -65 
 67 81 -50 
 67 97 2 
 67 99 -22 
 69 69 -91 
 69 76 -19 
 69 98 -22 
 69 100 -7 
 70 83 22 
 70 86 -10 
 70 99 -77 
 71 79 42 
 71 90 40 
 72 78 35 
 73 73 -86 
 73 74 -62 
 73 79 75 
 73 91 94 
 73 96 -95 
 74 90 25 
 74 91 25 
 75 86 -14 
 75 96 45 
 75 99 48 
 76 78 -25 
 76 87 -24 
 76 91 -31 
 76 98 -78 
 77 80 59 
 77 99 -72 
 78 78 45 
 78 83 -38 
 78 84 55 
 78 93 -53 
 80 84 40 
 80 86 -55 
 81 83 -78 
 81 86 -65 
 81 87 -16 
 81 88 30 
 83 92 -49 
 84 93 99 
 84 96 -60 
 86 91 78 
 89 96 -28 
 90 92 17 
 91 98 -43 
 92 93 70 
 92 99 98 
 94 95 81 
 94 99 -87 
 95 98 70 
 96 100 -10 
 99 100 -43 
 100 494 
 1 4 -90 
 1 16 -9 
 1 19 31 
 1 57 -24 
 1 73 -50 
 2 6 3 
 2 8 65 
 2 21 -84 
 2 26 12 
 2 38 62 
 2 43 -91 
 2 54 23 
 2 75 98 
 2 78 12 
 2 80 14 
 2 99 -48 
 3 14 -49 
 3 40 66 
 3 57 -18 
 3 73 -88 
 3 87 -77 
 3 96 44 
 4 10 -71 
 4 21 9 
 4 24 -36 
 4 25 -48 
 4 28 -67 
 4 49 -64 
 4 63 58 
 4 78 -12 
 4 82 35 
 4 96 83 
 5 13 -56 
 5 33 46 
 5 49 -82 
 5 57 -94 
 5 68 -32 
 5 75 15 
 5 85 30 
 5 93 14 
 5 100 -37 
 6 8 -72 
 6 11 -63 
 6 21 18 
 6 42 -82 
 6 45 28 
 6 48 85 
 6 49 97 
 6 52 10 
 6 68 -55 
 6 72 -8 
 6 74 -10 
 6 81 58 
 6 84 48 
 6 86 49 
 6 90 -67 
 6 96 -45 
 7 14 -75 
 7 20 36 
 7 25 -61 
 7 32 3 
 7 37 98 
 7 40 40 
 7 46 -29 
 7 59 -33 
 7 68 -36 
 8 8 16 
 8 27 -2 
 8 53 42 
 8 87 -63 
 8 90 86 
 8 95 10 
 8 96 86 
 8 100 -23 
 9 20 69 
 9 28 -67 
 9 29 -86 
 9 34 90 
 9 36 4 
 9 93 90 
 10 10 -7 
 10 28 12 
 10 36 90 
 10 44 10 
 10 69 77 
 10 75 -12 
 10 76 47 
 10 93 89 
 10 95 -84 
 11 17 34 
 11 23 67 
 11 55 86 
 11 62 -12 
 11 67 -78 
 11 77 9 
 11 79 -73 
 11 80 -91 
 11 97 16 
 12 22 27 
 12 28 -54 
 12 59 -39 
 12 73 -31 
 12 77 16 
 12 86 -68 
 12 94 -39 
 12 96 -29 
 12 100 2 
 13 24 -81 
 13 27 -9 
 13 51 -13 
 13 58 -29 
 13 62 83 
 13 70 -18 
 13 91 84 
 13 93 -59 
 13 100 89 
 14 15 -93 
 14 71 67 
 14 85 -81 
 14 88 45 
 15 25 54 
 15 44 74 
 15 53 -96 
 15 60 -71 
 15 75 4 
 15 83 -76 
 15 84 41 
 16 61 -73 
 16 82 99 
 16 92 -40 
 17 17 93 
 17 32 79 
 17 42 67 
 17 47 82 
 17 48 -87 
 17 62 50 
 17 64 17 
 17 77 -72 
 17 78 78 
 17 81 -26 
 17 83 -62 
 17 88 15 
 17 100 65 
 18 21 -89 
 18 36 -81 
 18 39 -48 
 18 61 17 
 18 62 79 
 18 65 79 
 18 90 71 
 18 92 -48 
 18 98 -15 
 19 24 50 
 19 29 30 
 19 33 -60 
 19 36 -59 
 19 38 -52 
 19 48 58 
 19 55 -62 
 19 63 84 
 19 64 92 
 19 77 94 
 19 79 -39 
 19 98 -70 
 20 22 100 
 20 32 -37 
 20 39 -55 
 20 45 69 
 20 57 82 
 20 62 -18 
 20 67 62 
 20 72 -85 
 20 77 26 
 20 82 -15 
 21 51 74 
 21 60 75 
 21 67 28 
 21 69 80 
 21 70 27 
 21 81 -22 
 21 92 75 
 21 95 -17 
 21 99 -71 
 22 28 61 
 22 37 73 
 22 38 92 
 22 39 75 
 22 53 30 
 22 67 -24 
 22 70 -95 
 22 95 5 
 22 98 -5 
 23 37 90 
 23 49 -4 
 23 53 -12 
 23 57 98 
 23 80 -63 
 23 83 1 
 23 91 -61 
 23 94 82 
 24 40 32 
 24 42 100 
 24 48 -20 
 24 64 63 
 24 77 -10 
 24 88 -97 
 24 93 43 
 25 46 -45 
 25 49 -42 
 25 52 35 
 25 60 -30 
 25 82 -3 
 26 50 8 
 26 52 13 
 26 55 14 
 26 68 -15 
 26 70 -19 
 26 77 29 
 26 86 -23 
 26 88 72 
 26 97 2 
 27 45 55 
 27 51 12 
 27 58 48 
 27 66 21 
 27 89 -84 
 28 29 -17 
 28 35 27 
 28 37 -57 
 28 39 7 
 28 51 21 
 28 69 84 
 28 71 56 
 28 82 -77 
 28 89 28 
 29 34 -66 
 29 36 81 
 29 48 -43 
 29 49 90 
 29 53 -58 
 29 57 -70 
 29 58 -81 
 29 94 62 
 29 95 5 
 30 49 85 
 30 51 100 
 30 52 -33 
 30 71 -63 
 30 88 -73 
 31 34 -49 
 31 38 -66 
 31 45 -92 
 31 54 -4 
 31 94 57 
 32 44 -65 
 32 49 -23 
 32 67 -97 
 32 73 88 
 32 76 37 
 32 79 -17 
 32 80 84 
 32 98 -5 
 32 100 6 
 33 40 16 
 33 44 -21 
 33 48 54 
 33 59 79 
 33 70 -17 
 33 71 -60 
 33 76 2 
 33 77 -25 
 33 88 97 
 33 95 -7 
 34 34 6 
 34 54 -95 
 34 56 98 
 34 59 13 
 34 81 30 
 34 91 -18 
 35 36 41 
 35 44 64 
 35 46 -2 
 35 56 -84 
 35 69 36 
 35 75 97 
 35 85 67 
 35 95 -71 
 36 36 -40 
 36 52 72 
 36 63 -41 
 36 71 -73 
 36 73 70 
 36 89 -98 
 37 46 27 
 37 55 22 
 37 68 -92 
 37 71 -73 
 37 76 97 
 37 83 -96 
 37 95 -17 
 37 99 64 
 38 38 58 
 38 41 10 
 38 45 -74 
 38 46 -11 
 38 72 -51 
 38 74 92 
 38 97 3 
 38 100 9 
 39 43 3 
 39 45 24 
 40 69 -88 
 40 87 -91 
 40 99 -75 
 41 41 16 
 41 45 -13 
 41 51 -32 
 41 65 66 
 41 70 47 
 41 78 -60 
 41 82 15 
 41 86 35 
 41 98 -98 
 42 45 43 
 42 46 23 
 42 58 -93 
 42 61 29 
 42 71 34 
 42 75 -86 
 42 84 18 
 42 88 -32 
 42 92 69 
 43 43 82 
 43 69 -96 
 44 56 91 
 44 58 33 
 44 83 43 
 45 46 2 
 45 55 47 
 45 56 72 
 45 65 85 
 45 91 -86 
 45 96 70 
 46 56 68 
 46 66 72 
 46 70 33 
 46 79 -56 
 46 88 17 
 47 49 6 
 47 55 -5 
 47 71 99 
 47 74 -40 
 47 76 -39 
 47 78 -51 
 47 96 53 
 48 51 24 
 48 60 58 
 48 92 86 
 49 55 88 
 49 62 -22 
 49 71 30 
 49 78 8 
 50 65 4 
 50 99 -83 
 51 53 -49 
 51 54 -54 
 51 55 -66 
 52 63 58 
 52 76 -79 
 52 77 -47 
 52 82 69 
 52 84 -11 
 53 55 -82 
 53 69 59 
 53 86 -61 
 53 96 59 
 53 97 -12 
 53 99 62 
 54 54 55 
 54 57 27 
 54 63 -15 
 54 69 92 
 54 93 -95 
 54 99 -24 
 55 56 10 
 55 60 20 
 55 74 58 
 55 87 -74 
 55 88 64 
 55 90 4 
 55 92 88 
 55 95 18 
 55 99 -29 
 55 100 -46 
 56 62 -68 
 56 94 35 
 57 77 53 
 58 69 -28 
 58 74 -5 
 58 90 -45 
 59 60 -44 
 59 74 21 
 59 75 -68 
 60 70 -69 
 60 79 -60 
 60 89 -16 
 60 100 -18 
 61 89 -56 
 61 98 -94 
 62 74 -43 
 62 84 -14 
 62 87 46 
 63 65 65 
 63 75 -81 
 63 78 -3 
 63 96 4 
 64 75 -11 
 64 90 -90 
 64 92 19 
 64 95 13 
 65 69 92 
 65 76 5 
 66 72 -26 
 66 74 -87 
 66 86 -21 
 66 97 97 
 67 73 -22 
 67 93 4 
 67 97 57 
 67 98 80 
 68 78 85 
 68 96 36 
 69 72 77 
 69 73 -4 
 69 77 30 
 69 82 -48 
 69 84 68 
 69 85 31 
 69 87 21 
 70 70 -68 
 70 74 -50 
 70 75 39 
 70 81 -62 
 70 86 -17 
 70 88 -5 
 70 94 26 
 71 74 59 
 71 80 -55 
 71 81 62 
 71 84 53 
 71 88 -9 
 71 97 -34 
 71 98 -69 
 72 73 -47 
 72 84 -46 
 72 95 -40 
 73 84 33 
 73 85 57 
 73 89 -54 
 73 96 15 
 74 81 17 
 74 90 95 
 74 93 78 
 74 97 56 
 75 75 -91 
 75 82 -82 
 76 79 -60 
 76 82 37 
 76 83 3 
 76 84 -49 
 76 92 -37 
 76 98 -33 
 77 86 -70 
 77 90 5 
 77 95 -45 
 77 100 -62 
 78 79 11 
 78 92 50 
 80 88 -87 
 80 94 -44 
 81 93 -1 
 81 96 70 
 83 87 56 
 85 94 -15 
 85 100 52 
 86 91 -41 
 86 95 -76 
 86 100 49 
 89 94 -38 
 90 94 50 
 90 99 -42 
 91 100 81 
 95 95 -25 
 96 99 36 
 100 505 
 1 1 47 
 1 9 3 
 1 17 85 
 1 20 90 
 1 22 -81 
 1 23 95 
 1 72 -26 
 1 92 36 
 1 93 88 
 2 2 1 
 2 8 63 
 2 13 13 
 2 18 -10 
 2 25 89 
 2 26 36 
 2 39 -91 
 2 50 -1 
 2 55 -77 
 2 60 -9 
 2 66 -38 
 2 97 -46 
 3 7 50 
 3 47 97 
 3 51 -17 
 3 53 30 
 3 57 25 
 3 70 77 
 3 72 -50 
 3 80 -36 
 3 87 -33 
 3 93 55 
 3 100 -62 
 4 11 -35 
 4 13 -12 
 4 25 -90 
 4 27 8 
 4 40 -9 
 4 46 19 
 4 50 9 
 4 55 93 
 4 66 96 
 4 76 -74 
 4 78 74 
 4 88 -52 
 4 91 -82 
 5 23 71 
 5 30 56 
 5 34 -22 
 5 38 -16 
 5 45 -76 
 5 95 74 
 5 97 -31 
 6 7 58 
 6 13 -13 
 6 18 65 
 6 34 -61 
 6 41 -17 
 6 49 11 
 6 52 -5 
 6 60 -98 
 6 66 59 
 6 83 -29 
 6 91 -33 
 7 39 81 
 7 48 3 
 7 52 100 
 7 75 -4 
 8 14 -14 
 8 54 84 
 8 58 73 
 9 22 26 
 9 40 12 
 9 41 -18 
 9 66 9 
 9 89 49 
 10 23 96 
 10 28 8 
 10 33 67 
 10 35 -77 
 10 38 -4 
 10 47 -23 
 10 68 15 
 10 69 -4 
 10 77 -32 
 10 80 46 
 11 33 88 
 11 42 -79 
 11 44 -64 
 11 82 42 
 12 12 -10 
 12 19 14 
 12 26 -7 
 12 31 -49 
 12 46 -91 
 12 68 26 
 12 83 -74 
 12 94 -33 
 12 97 55 
 12 98 -36 
 13 13 -81 
 13 18 6 
 13 27 -22 
 13 31 -37 
 13 41 44 
 13 48 25 
 13 92 -5 
 13 98 73 
 14 16 -98 
 14 19 98 
 14 27 -43 
 14 33 49 
 14 59 58 
 14 60 20 
 14 68 55 
 14 74 22 
 14 95 -89 
 14 97 -17 
 15 17 53 
 15 44 47 
 15 45 -89 
 15 51 46 
 15 62 -91 
 15 67 76 
 15 71 38 
 15 73 -64 
 15 78 94 
 15 97 83 
 15 98 -57 
 16 42 -34 
 16 55 76 
 16 56 41 
 16 61 29 
 16 70 -97 
 16 85 -91 
 16 91 99 
 17 21 87 
 17 24 -16 
 17 34 -32 
 17 37 91 
 17 45 -85 
 17 46 -19 
 17 53 -5 
 17 59 66 
 17 69 98 
 17 71 -51 
 17 78 -2 
 17 85 48 
 17 86 21 
 17 93 -74 
 17 94 -41 
 17 98 -50 
 18 18 68 
 18 23 57 
 18 30 49 
 18 56 99 
 18 58 33 
 18 59 81 
 18 68 -73 
 18 72 -86 
 19 23 29 
 19 26 15 
 19 38 -86 
 19 53 69 
 19 66 19 
 19 87 63 
 20 20 38 
 20 29 57 
 20 44 -34 
 20 60 70 
 20 78 43 
 20 91 -70 
 20 95 -87 
 20 98 70 
 21 34 5 
 21 38 97 
 21 51 59 
 21 79 -61 
 21 81 33 
 21 82 13 
 21 95 73 
 22 22 53 
 22 40 -56 
 22 44 45 
 22 45 71 
 22 51 -9 
 22 54 -69 
 22 57 -39 
 22 65 43 
 22 94 42 
 23 27 21 
 23 32 13 
 23 59 -94 
 23 64 -55 
 23 65 91 
 23 66 6 
 23 70 -4 
 23 90 55 
 24 25 -64 
 24 29 70 
 24 48 43 
 24 50 -60 
 24 62 -97 
 24 77 -40 
 24 83 -54 
 24 86 48 
 25 31 -55 
 25 32 -52 
 25 33 -62 
 25 34 86 
 25 37 -56 
 25 40 26 
 25 46 -72 
 25 47 -11 
 25 52 69 
 25 56 -34 
 25 58 77 
 25 68 -7 
 25 75 36 
 25 76 72 
 25 87 -95 
 25 89 -75 
 25 99 25 
 26 42 -34 
 26 55 -20 
 26 62 -8 
 26 63 -42 
 26 68 3 
 26 76 81 
 26 93 -33 
 26 95 5 
 27 34 16 
 27 41 -99 
 27 42 -2 
 27 56 -85 
 27 67 -58 
 27 84 51 
 28 37 34 
 28 45 -5 
 28 62 74 
 28 65 96 
 28 78 -9 
 28 88 -3 
 29 32 -38 
 29 43 -58 
 29 67 44 
 29 81 33 
 29 95 52 
 30 30 66 
 30 42 69 
 30 65 -80 
 30 67 -51 
 30 82 77 
 30 93 69 
 31 41 -22 
 31 43 -28 
 31 44 95 
 31 53 44 
 31 57 17 
 31 64 -35 
 31 68 67 
 31 80 -14 
 31 87 64 
 31 88 -89 
 31 90 -7 
 32 36 93 
 32 44 47 
 32 47 -53 
 32 49 90 
 32 80 -40 
 32 87 79 
 33 56 34 
 33 61 -56 
 33 68 90 
 33 77 -76 
 33 81 66 
 33 87 67 
 34 37 27 
 34 46 88 
 34 98 -15 
 35 68 59 
 35 69 48 
 35 96 18 
 35 99 72 
 36 47 -99 
 36 54 33 
 36 56 14 
 36 88 32 
 36 94 -79 
 37 40 -51 
 37 42 15 
 37 49 69 
 37 61 -8 
 37 64 -37 
 37 79 93 
 37 83 61 
 37 85 -2 
 37 89 71 
 37 97 -20 
 37 99 88 
 38 56 75 
 38 66 -4 
 38 68 -62 
 38 70 -24 
 38 80 -20 
 39 49 65 
 39 52 -77 
 39 63 -54 
 39 65 -70 
 39 66 -99 
 39 81 -96 
 39 91 12 
 39 99 -64 
 40 58 78 
 40 62 36 
 40 100 87 
 41 54 58 
 41 55 45 
 41 56 -87 
 41 63 -51 
 41 67 39 
 41 68 35 
 41 70 86 
 41 85 -78 
 41 89 74 
 41 97 66 
 41 99 77 
 41 100 47 
 42 50 53 
 42 53 67 
 42 78 6 
 42 81 5 
 42 91 51 
 42 98 76 
 43 46 -42 
 43 50 61 
 43 52 54 
 43 60 -28 
 43 67 -83 
 43 71 33 
 43 87 15 
 43 99 25 
 44 45 -41 
 44 66 59 
 44 70 50 
 44 89 -5 
 45 45 -56 
 45 60 70 
 45 71 93 
 45 77 62 
 45 78 -30 
 45 83 43 
 45 94 54 
 45 98 60 
 46 50 1 
 46 63 -11 
 46 79 -46 
 46 83 -72 
 46 91 -3 
 46 96 -70 
 47 54 -74 
 47 72 -60 
 47 77 13 
 47 100 -94 
 48 54 -7 
 48 58 -86 
 48 89 -72 
 48 91 -37 
 49 51 -24 
 49 52 46 
 49 60 44 
 49 62 -68 
 49 66 -14 
 49 69 -65 
 49 98 28 
 49 99 63 
 50 65 94 
 50 73 7 
 50 74 -28 
 50 84 -45 
 50 89 22 
 50 95 63 
 51 58 -32 
 51 61 53 
 51 72 89 
 51 85 79 
 51 97 57 
 52 57 -76 
 52 61 84 
 52 66 -52 
 52 73 -48 
 52 97 -20 
 53 67 13 
 53 71 6 
 53 75 -26 
 53 87 -9 
 54 54 -72 
 54 55 66 
 54 59 54 
 54 63 -21 
 54 76 -60 
 54 85 -83 
 54 93 51 
 55 58 -52 
 55 60 -26 
 55 68 -7 
 55 72 -37 
 55 100 16 
 56 61 -31 
 56 69 32 
 56 71 -34 
 56 98 9 
 57 58 -23 
 57 62 62 
 57 63 -85 
 57 65 -60 
 57 71 -9 
 57 74 -7 
 57 85 -74 
 57 88 44 
 57 91 -80 
 58 58 21 
 58 59 61 
 58 62 -32 
 58 66 -76 
 58 73 47 
 58 79 -28 
 59 96 30 
 60 72 60 
 60 76 87 
 60 78 26 
 60 94 -46 
 60 95 33 
 60 100 89 
 61 62 70 
 61 69 80 
 61 70 12 
 61 78 -25 
 61 85 95 
 61 98 -73 
 61 99 22 
 62 72 -90 
 62 82 -17 
 63 64 21 
 63 96 84 
 64 68 -66 
 64 76 66 
 64 83 -9 
 64 92 87 
 65 65 9 
 65 66 -60 
 65 68 -84 
 65 69 81 
 65 73 -15 
 66 74 -16 
 66 97 -99 
 66 99 -89 
 68 69 -12 
 69 75 -61 
 70 70 100 
 70 73 26 
 70 81 60 
 71 76 -24 
 71 82 48 
 71 89 -17 
 71 91 94 
 71 98 98 
 72 73 14 
 72 83 73 
 73 87 61 
 73 89 -70 
 73 99 -17 
 74 95 -7 
 75 79 28 
 75 81 -63 
 75 84 21 
 76 84 40 
 76 85 49 
 76 88 55 
 76 96 -32 
 77 79 33 
 77 83 95 
 78 93 28 
 78 97 -70 
 79 80 -9 
 79 86 80 
 79 98 -50 
 80 86 96 
 80 87 -34 
 80 89 12 
 80 96 -3 
 82 98 71 
 82 99 -36 
 84 84 -47 
 84 100 -95 
 85 86 -16 
 85 91 17 
 85 95 40 
 86 93 3 
 87 100 61 
 89 97 -24 
 92 94 31 
 92 98 -70 
 93 96 -12 
 93 100 -77 
 98 98 36 
 100 487 
 1 11 99 
 1 15 -55 
 1 16 -90 
 1 21 -24 
 1 23 -41 
 1 47 31 
 1 49 63 
 1 50 84 
 1 53 -89 
 1 66 -10 
 1 67 52 
 1 80 81 
 1 87 -83 
 1 94 -83 
 2 28 -75 
 2 30 -26 
 2 35 -28 
 2 40 -21 
 2 52 -82 
 2 72 4 
 2 83 -5 
 2 84 83 
 2 89 69 
 2 92 62 
 2 100 95 
 3 3 -72 
 3 7 69 
 3 15 43 
 3 17 61 
 3 18 -23 
 3 31 -85 
 3 38 -17 
 3 47 95 
 3 57 -87 
 3 59 80 
 3 65 -29 
 3 68 -30 
 3 85 92 
 3 99 44 
 4 4 22 
 4 12 84 
 4 15 24 
 4 24 53 
 4 28 -6 
 4 39 -1 
 4 60 3 
 4 65 -3 
 4 74 -8 
 5 7 -69 
 5 16 62 
 5 19 -74 
 5 23 -96 
 5 31 -14 
 5 37 -2 
 5 52 58 
 5 53 -86 
 5 61 -34 
 5 64 -32 
 5 67 9 
 5 74 69 
 5 87 -93 
 5 90 78 
 5 100 -6 
 6 29 -50 
 6 42 -89 
 6 53 64 
 7 11 90 
 7 26 30 
 7 49 -20 
 7 60 80 
 7 66 -78 
 7 68 -43 
 8 19 -35 
 8 52 75 
 8 58 99 
 8 61 -6 
 9 10 2 
 9 29 -9 
 9 44 -37 
 9 50 -98 
 9 72 94 
 9 76 94 
 9 77 -52 
 9 86 61 
 9 94 -12 
 10 11 -83 
 10 28 62 
 10 47 -91 
 10 69 27 
 10 70 -23 
 10 72 -52 
 10 89 -93 
 11 18 -43 
 11 38 -59 
 11 40 -9 
 11 42 46 
 11 48 40 
 11 53 77 
 11 55 -30 
 11 56 72 
 11 61 42 
 11 62 -91 
 11 78 45 
 11 100 -30 
 12 17 -76 
 12 19 42 
 12 25 43 
 12 46 59 
 12 61 -9 
 12 63 -29 
 12 65 -85 
 12 73 36 
 12 78 -69 
 12 93 12 
 12 99 -70 
 13 32 -33 
 13 38 -74 
 13 42 21 
 13 53 65 
 13 65 66 
 13 67 44 
 13 69 -90 
 13 80 91 
 14 25 65 
 14 37 -18 
 14 41 45 
 14 47 -35 
 14 53 22 
 14 56 79 
 14 57 -83 
 14 59 29 
 14 61 -5 
 14 63 97 
 14 91 39 
 15 21 80 
 15 22 95 
 15 35 -24 
 15 52 -24 
 15 62 72 
 15 77 -82 
 15 88 -26 
 16 23 37 
 16 26 -11 
 16 35 37 
 16 78 -46 
 16 79 29 
 16 87 32 
 16 90 51 
 16 94 10 
 17 17 95 
 17 42 26 
 17 47 -6 
 17 68 -80 
 18 19 -99 
 18 24 -48 
 18 42 -48 
 18 43 53 
 18 63 -87 
 18 86 -59 
 18 88 -35 
 18 89 65 
 19 21 -42 
 19 27 -78 
 19 36 19 
 19 37 65 
 19 56 64 
 19 58 76 
 19 72 21 
 19 90 -5 
