 10 
 500 12421 
 6 77 64 
 6 78 -36 
 6 91 -77 
 6 101 96 
 6 107 63 
 6 125 -87 
 6 130 -63 
 6 146 -7 
 6 150 62 
 6 171 63 
 6 172 -92 
 6 201 7 
 6 202 20 
 6 206 55 
 6 220 97 
 6 273 -44 
 6 277 -23 
 6 302 -51 
 6 306 -86 
 6 317 -11 
 6 324 13 
 6 329 -22 
 6 346 60 
 6 347 42 
 6 349 -65 
 6 353 -73 
 6 363 59 
 6 366 -42 
 6 373 -64 
 6 376 22 
 6 377 90 
 6 399 27 
 6 414 -34 
 6 415 37 
 6 457 -45 
 6 462 97 
 6 464 57 
 6 466 -37 
 6 487 -77 
 7 8 -78 
 7 12 34 
 7 40 -62 
 7 46 86 
 7 49 25 
 7 57 -29 
 7 72 73 
 7 94 -1 
 7 108 41 
 7 111 6 
 7 113 97 
 7 117 65 
 7 136 -8 
 7 167 -26 
 7 168 -5 
 7 170 12 
 7 177 -32 
 7 179 -18 
 7 180 -49 
 7 200 72 
 7 201 -23 
 7 206 77 
 7 210 100 
 7 231 44 
 7 232 -59 
 7 242 -58 
 7 254 -75 
 7 256 -54 
 7 260 -34 
 7 263 54 
 7 294 69 
 7 297 -41 
 7 318 -48 
 7 334 6 
 7 343 32 
 7 359 -59 
 7 367 -74 
 7 372 8 
 7 382 57 
 7 383 -29 
 7 389 1 
 7 392 -82 
 7 401 -14 
 7 402 -76 
 7 419 -82 
 7 423 1 
 7 427 -55 
 7 457 -66 
 7 460 -4 
 7 468 20 
 7 488 46 
 7 491 -34 
 7 497 85 
 8 8 -14 
 8 11 43 
 8 12 -85 
 8 15 46 
 8 23 -66 
 8 31 23 
 8 65 63 
 8 72 -14 
 8 118 -13 
 8 130 32 
 8 139 93 
 8 142 -98 
 8 149 60 
 8 153 53 
 8 162 99 
 8 198 -86 
 8 216 -13 
 8 253 1 
 8 264 -82 
 8 292 73 
 8 316 93 
 8 318 -10 
 8 326 54 
 8 347 57 
 8 355 -18 
 8 362 48 
 8 370 96 
 8 385 -66 
 8 402 22 
 8 431 45 
 8 441 53 
 8 445 -65 
 8 452 -8 
 8 453 15 
 8 454 -89 
 8 477 -26 
 8 486 53 
 8 490 51 
 8 497 -11 
 8 499 60 
 9 17 -43 
 9 22 -55 
 9 33 41 
 9 39 21 
 9 55 74 
 9 66 39 
 9 93 -77 
 9 106 -89 
 9 112 -46 
 9 118 89 
 9 122 87 
 9 126 84 
 9 127 -67 
 9 134 66 
 9 137 -99 
 9 140 -32 
 9 147 -91 
 9 151 -89 
 9 168 83 
 9 188 -83 
 9 196 -81 
 9 199 42 
 9 239 93 
 9 240 -64 
 9 242 -3 
 9 255 -8 
 9 263 63 
 9 271 39 
 9 286 -33 
 9 293 57 
 9 303 66 
 9 335 -86 
 9 350 96 
 9 370 10 
 9 372 -98 
 9 374 -5 
 9 382 6 
 9 419 4 
 9 420 33 
 9 422 12 
 9 425 -11 
 9 443 30 
 9 447 -79 
 9 449 88 
 9 450 -5 
 9 451 -2 
 9 455 61 
 9 457 13 
 9 460 45 
 9 470 -13 
 9 471 -5 
 9 491 14 
 9 494 -45 
 9 500 1 
 10 13 -39 
 10 44 -87 
 10 49 -74 
 10 50 97 
 10 61 36 
 10 72 80 
 10 91 -58 
 10 105 33 
 10 115 -14 
 10 121 -44 
 10 129 69 
 10 133 48 
 10 165 -58 
 10 170 -68 
 10 171 44 
 10 181 -86 
 10 182 2 
 10 199 68 
 10 206 21 
 10 219 -99 
 10 221 -14 
 10 232 -17 
 10 237 -46 
 10 239 -86 
 10 245 45 
 10 291 -81 
 10 299 22 
 10 309 -1 
 10 315 -81 
 10 323 8 
 10 337 -37 
 10 342 -86 
 10 343 -9 
 10 346 53 
 10 351 18 
 10 364 -55 
 10 373 -27 
 10 379 -69 
 10 394 37 
 10 400 -26 
 10 401 -45 
 10 407 -67 
 10 412 27 
 10 426 95 
 10 429 -86 
 10 431 -20 
 10 445 -62 
 10 446 -72 
 10 449 1 
 10 457 44 
 10 468 27 
 10 478 2 
 10 496 -68 
 11 17 51 
 11 31 -9 
 11 50 60 
 11 54 3 
 11 55 37 
 11 62 57 
 11 69 7 
 11 72 -46 
 11 91 52 
 11 94 -15 
 11 100 -29 
 11 107 15 
 11 124 99 
 11 140 -20 
 11 153 63 
 11 158 98 
 11 167 -5 
 11 197 27 
 11 205 18 
 11 208 -30 
 11 209 51 
 11 213 -56 
 11 214 -81 
 11 218 -57 
 11 221 49 
 11 224 78 
 11 226 85 
 11 231 -87 
 11 234 -75 
 11 243 53 
 11 253 -97 
 11 275 60 
 11 295 -97 
 11 300 77 
 11 305 61 
 11 309 7 
 11 342 -13 
 11 394 41 
 11 395 22 
 11 400 -20 
 11 403 -42 
 11 415 83 
 11 423 20 
 11 430 14 
 11 440 46 
 11 461 -32 
 11 463 58 
 11 473 -13 
 11 476 -4 
 11 482 62 
 11 487 -77 
 12 14 3 
 12 15 -55 
 12 33 -88 
 12 34 -68 
 12 36 -3 
 12 46 -25 
 12 47 78 
 12 49 3 
 12 73 -47 
 12 91 11 
 12 92 22 
 12 95 -83 
 12 111 -33 
 12 136 -99 
 12 142 -39 
 12 147 95 
 12 152 -66 
 12 162 95 
 12 178 58 
 12 196 30 
 12 199 -88 
 12 202 -95 
 12 222 9 
 12 223 -56 
 12 232 100 
 12 234 66 
 12 242 43 
 12 255 36 
 12 263 -98 
 12 272 77 
 12 278 72 
 12 285 48 
 12 290 15 
 12 291 -32 
 12 300 -9 
 12 304 -18 
 12 331 85 
 12 343 84 
 12 365 -14 
 12 368 -45 
 12 376 -68 
 12 379 24 
 12 383 -67 
 12 411 21 
 12 414 97 
 12 424 -4 
 12 425 -62 
 12 443 59 
 12 456 -32 
 12 464 65 
 12 469 11 
 12 478 51 
 12 485 -26 
 12 493 95 
 13 20 -9 
 13 35 52 
 13 38 62 
 13 45 -26 
 13 50 71 
 13 66 40 
 13 77 -2 
 13 84 -45 
 13 93 -64 
 13 95 8 
 13 117 -52 
 13 122 64 
 13 135 -6 
 13 163 50 
 13 187 -82 
 13 206 14 
 13 242 -39 
 13 247 82 
 13 257 83 
 13 263 56 
 13 265 -89 
 13 275 25 
 13 281 -53 
 13 285 26 
 13 299 -14 
 13 311 -13 
 13 323 35 
 13 326 -93 
 13 327 -3 
 13 337 59 
 13 346 -8 
 13 355 75 
 13 356 -93 
 13 378 45 
 13 382 11 
 13 391 -93 
 13 400 84 
 13 411 -47 
 13 412 75 
 13 416 -33 
 13 429 -42 
 13 447 6 
 13 455 89 
 13 470 -46 
 13 471 -64 
 13 477 -16 
 13 485 -25 
 13 487 49 
 14 14 60 
 14 27 74 
 14 34 -94 
 14 41 -12 
 14 46 -85 
 14 60 -91 
 14 66 -13 
 14 71 48 
 14 74 -56 
 14 75 7 
 14 92 -50 
 14 99 -77 
 14 104 -63 
 14 107 -37 
 14 115 38 
 14 121 1 
 14 134 -83 
 14 170 -26 
 14 192 82 
 14 231 -29 
 14 254 31 
 14 255 27 
 14 297 25 
 14 307 -24 
 14 324 51 
 14 328 -89 
 14 341 83 
 14 349 -84 
 14 356 97 
 14 359 16 
 14 378 11 
 14 388 93 
 14 412 40 
 14 414 -5 
 14 421 -36 
 14 435 -99 
 14 437 -68 
 14 440 -4 
 14 441 14 
 14 448 97 
 14 475 23 
 14 480 -91 
 14 486 -42 
 14 491 -39 
 15 17 -24 
 15 34 -27 
 15 36 -43 
 15 54 -42 
 15 58 -72 
 15 84 -46 
 15 89 -3 
 15 94 49 
 15 110 -86 
 15 140 95 
 15 147 64 
 15 164 73 
 15 167 -13 
 15 180 -12 
 15 182 -27 
 15 183 27 
 15 186 -16 
 15 187 9 
 15 201 30 
 15 221 -55 
 15 222 80 
 15 227 55 
 15 231 47 
 15 233 74 
 15 234 -21 
 15 246 46 
 15 250 -81 
 15 257 47 
 15 260 77 
 15 266 -39 
 15 273 29 
 15 287 43 
 15 297 43 
 15 299 -1 
 15 302 -98 
 15 308 -81 
 15 317 4 
 15 352 -90 
 15 356 39 
 15 366 -90 
 15 372 -76 
 15 392 82 
 15 397 29 
 15 401 -26 
 15 406 -44 
 15 413 62 
 15 432 96 
 15 447 -68 
 15 487 94 
 15 497 -34 
 15 498 60 
 16 16 74 
 16 21 -7 
 16 25 -36 
 16 30 82 
 16 54 27 
 16 57 -1 
 16 74 62 
 16 78 -69 
 16 92 -27 
 16 104 -27 
 16 139 -93 
 16 149 -91 
 16 157 8 
 16 163 83 
 16 164 -55 
 16 167 -23 
 16 191 -2 
 16 193 46 
 16 196 -37 
 16 204 27 
 16 207 80 
 16 209 92 
 16 223 20 
 16 224 -3 
 16 263 -57 
 16 269 86 
 16 297 49 
 16 311 -6 
 16 318 -24 
 16 371 -33 
 16 386 43 
 16 387 -54 
 16 399 -1 
 16 404 89 
 16 407 -5 
 16 423 92 
 16 426 11 
 16 441 -11 
 16 447 8 
 16 457 -25 
 16 468 -37 
 16 500 -17 
 17 18 -72 
 17 22 -89 
 17 23 -40 
 17 26 -93 
 17 41 -68 
 17 45 -78 
 17 46 23 
 17 53 10 
 17 88 -55 
 17 129 -32 
 17 146 59 
 17 166 -52 
 17 180 95 
 17 181 -4 
 17 189 -67 
 17 212 -82 
 17 214 90 
 17 224 72 
 17 225 -35 
 17 259 82 
 17 275 94 
 17 282 -57 
 17 317 -64 
 17 319 -32 
 17 320 -98 
 17 327 10 
 17 330 -48 
 17 353 -85 
 17 357 93 
 17 358 13 
 17 373 -30 
 17 374 -11 
 17 375 42 
 17 381 1 
 17 395 91 
 17 396 46 
 17 398 39 
 17 400 -33 
 17 414 -64 
 17 419 -32 
 17 421 -70 
 17 447 57 
 17 449 64 
 17 462 71 
 17 468 -14 
 17 473 -71 
 17 474 39 
 17 480 46 
 17 493 27 
 17 497 -77 
 18 40 -15 
 18 41 -82 
 18 54 -39 
 18 77 17 
 18 82 47 
 18 98 -16 
 18 112 74 
 18 116 -40 
 18 118 -22 
 18 123 52 
 18 127 42 
 18 132 82 
 18 133 -70 
 18 189 -51 
 18 192 -21 
 18 200 78 
 18 207 -44 
 18 229 2 
 18 230 -28 
 18 238 76 
 18 259 -82 
 18 270 24 
 18 272 -73 
 18 281 -56 
 18 300 -87 
 18 303 69 
 18 309 38 
 18 327 15 
 18 331 74 
 18 334 -21 
 18 344 84 
 18 349 -94 
 18 367 78 
 18 376 -40 
 18 377 -67 
 18 379 57 
 18 387 36 
 18 392 60 
 18 400 -95 
 18 421 44 
 18 424 -2 
 18 444 -97 
 18 446 -13 
 18 492 -68 
 18 499 -25 
 19 20 46 
 19 35 -16 
 19 85 -10 
 19 94 -68 
 19 95 37 
 19 106 56 
 19 109 -5 
 19 111 72 
 19 115 38 
 19 116 48 
 19 117 -78 
 19 121 30 
 19 151 39 
 19 158 100 
 19 164 10 
 19 184 91 
 19 189 -11 
 19 195 -38 
 19 196 -59 
 19 198 -70 
 19 205 50 
 19 215 -87 
 19 224 -51 
 19 225 -48 
 19 233 69 
 19 240 58 
 19 245 -86 
 19 246 64 
 19 278 -18 
 19 286 -87 
 19 288 -95 
 19 294 3 
 19 303 -13 
 19 320 -57 
 19 328 -26 
 19 354 -19 
 19 379 67 
 19 391 -58 
 19 423 91 
 19 428 26 
 19 429 -85 
 19 433 38 
 19 453 16 
 19 461 -23 
 19 465 38 
 19 467 82 
 19 490 31 
 19 496 39 
 20 25 24 
 20 29 90 
 20 55 -91 
 20 57 -86 
 20 59 95 
 20 63 -97 
 20 76 -23 
 20 89 53 
 20 90 -19 
 20 91 -28 
 20 98 -46 
 20 105 -78 
 20 114 54 
 20 134 -54 
 20 135 46 
 20 137 -1 
 20 139 -55 
 20 159 -51 
 20 181 -58 
 20 195 3 
 20 201 19 
 20 207 40 
 20 218 79 
 20 225 -18 
 20 230 -4 
 20 237 -81 
 20 245 76 
 20 251 -81 
 20 252 -68 
 20 253 91 
 20 254 -5 
 20 255 -36 
 20 259 -1 
 20 274 48 
 20 283 -27 
 20 287 -31 
 20 288 83 
 20 301 70 
 20 313 -9 
 20 314 -47 
 20 326 -57 
 20 343 77 
 20 355 -34 
 20 358 61 
 20 372 -1 
 20 386 -94 
 20 408 10 
 20 414 52 
 20 415 84 
 20 416 -29 
 20 452 30 
 20 457 40 
 20 499 -36 
 21 22 94 
 21 23 -18 
 21 33 -94 
 21 37 -75 
 21 42 76 
 21 58 6 
 21 60 21 
 21 66 -94 
 21 75 -70 
 21 82 41 
 21 104 86 
 21 112 26 
 21 120 -94 
 21 140 -44 
 21 141 61 
 21 147 63 
 21 151 -13 
 21 164 48 
 21 176 3 
 21 190 -30 
 21 201 -54 
 21 206 44 
 21 228 6 
 21 229 1 
 21 242 33 
 21 245 20 
 21 253 79 
 21 254 -24 
 21 256 -10 
 21 267 -67 
 21 268 -17 
 21 272 46 
 21 277 -13 
 21 282 69 
 21 284 -41 
 21 298 20 
 21 309 12 
 21 311 -50 
 21 321 -95 
 21 327 -77 
 21 333 89 
 21 344 -1 
 21 348 -35 
 21 349 6 
 21 351 -14 
 21 364 21 
 21 378 -18 
 21 391 -19 
 21 423 -18 
 21 427 -60 
 21 428 -81 
 21 432 63 
 21 452 -2 
 21 458 6 
 21 461 39 
 21 475 -52 
 21 476 -70 
 21 499 -4 
 22 35 18 
 22 42 55 
 22 66 75 
 22 75 -58 
 22 111 -37 
 22 117 -29 
 22 118 -24 
 22 129 89 
 22 135 69 
 22 146 -15 
 22 155 -92 
 22 158 -16 
 22 168 88 
 22 172 60 
 22 177 46 
 22 188 65 
 22 210 -16 
 22 217 35 
 22 218 -32 
 22 225 45 
 22 228 41 
 22 248 -59 
 22 254 57 
 22 267 87 
 22 283 72 
 22 306 87 
 22 317 57 
 22 325 55 
 22 334 3 
 22 363 -20 
 22 376 -40 
 22 387 55 
 22 392 -68 
 22 408 3 
 22 416 -32 
 22 449 -88 
 22 463 -72 
 22 467 -88 
 22 484 80 
 22 486 -62 
 22 489 -40 
 23 37 96 
 23 48 -94 
 23 49 -95 
 23 63 96 
 23 73 70 
 23 83 20 
 23 112 -24 
 23 116 85 
 23 130 9 
 23 131 89 
 23 140 -29 
 23 148 -89 
 23 174 34 
 23 175 89 
 23 186 22 
 23 190 2 
 23 194 67 
 23 207 -34 
 23 208 -27 
 23 209 61 
 23 216 -76 
 23 224 -86 
 23 251 48 
 23 252 51 
 23 253 74 
 23 258 -21 
 23 260 97 
 23 269 15 
 23 273 -90 
 23 280 -55 
 23 283 -33 
 23 311 12 
 23 313 24 
 23 320 -64 
 23 328 -93 
 23 329 -56 
 23 357 24 
 23 366 -72 
 23 369 2 
 23 383 70 
 23 384 68 
 23 389 70 
 23 390 22 
 23 391 96 
 23 397 45 
 23 399 -24 
 23 417 -99 
 23 449 29 
 23 458 41 
 23 466 82 
 23 478 76 
 23 498 36 
 24 42 -87 
 24 45 -57 
 24 51 -51 
 24 78 80 
 24 111 -94 
 24 121 83 
 24 134 25 
 24 135 11 
 24 147 70 
 24 182 69 
 24 191 5 
 24 214 9 
 24 230 22 
 24 231 3 
 24 254 -94 
 24 266 84 
 24 272 -89 
 24 277 -9 
 24 278 62 
 24 290 45 
 24 299 90 
 24 313 83 
 24 316 81 
 24 322 42 
 24 333 25 
 24 335 -56 
 24 365 27 
 24 367 76 
 24 379 -43 
 24 383 31 
 24 386 26 
 24 388 96 
 24 398 99 
 24 406 96 
 24 426 4 
 24 435 -25 
 24 449 -8 
 24 476 -87 
 24 479 -94 
 24 482 -46 
 25 30 -19 
 25 37 69 
 25 74 74 
 25 78 73 
 25 84 41 
 25 91 -8 
 25 106 -73 
 25 111 -37 
 25 152 58 
 25 188 85 
 25 194 63 
 25 201 -94 
 25 206 11 
 25 210 58 
 25 216 41 
 25 219 53 
 25 225 3 
 25 229 59 
 25 237 75 
 25 245 -60 
 25 247 6 
 25 254 92 
 25 268 -79 
 25 270 -55 
 25 276 -38 
 25 277 -25 
 25 297 73 
 25 310 -39 
 25 315 62 
 25 320 1 
 25 321 -39 
 25 328 23 
 25 399 13 
 25 402 -10 
 25 405 -19 
 25 413 -13 
 25 428 -33 
 25 431 -73 
 25 432 -97 
 25 438 -41 
 25 454 -21 
 25 461 -31 
 25 472 68 
 25 474 -96 
 25 495 -12 
 25 498 -23 
 26 27 81 
 26 33 -43 
 26 47 10 
 26 49 53 
 26 69 -77 
 26 117 32 
 26 125 99 
 26 134 -20 
 26 137 -19 
 26 144 77 
 26 156 76 
 26 172 -86 
 26 173 -62 
 26 176 -8 
 26 183 45 
 26 186 100 
 26 188 -10 
 26 198 63 
 26 213 -79 
 26 236 61 
 26 238 -4 
 26 261 -48 
 26 272 -24 
 26 275 -5 
 26 279 52 
 26 281 -36 
 26 288 -47 
 26 294 30 
 26 310 36 
 26 318 -74 
 26 333 -60 
 26 348 31 
 26 356 -63 
 26 358 25 
 26 366 38 
 26 373 -45 
 26 378 -27 
 26 392 -45 
 26 400 32 
 26 434 67 
 26 437 76 
 26 445 -96 
 26 468 -15 
 26 469 -12 
 26 472 -43 
 26 486 -46 
 26 493 -87 
 26 496 -26 
 27 33 -85 
 27 34 19 
 27 42 80 
 27 49 58 
 27 85 -58 
 27 92 -33 
 27 104 52 
 27 106 86 
 27 118 -81 
 27 120 73 
 27 148 -72 
 27 154 -14 
 27 156 73 
 27 160 -75 
 27 167 -26 
 27 168 79 
 27 179 -6 
 27 181 -2 
 27 196 -32 
 27 224 -73 
 27 225 -37 
 27 239 -51 
 27 244 -82 
 27 254 12 
 27 260 -52 
 27 290 13 
 27 297 -34 
 27 330 -97 
 27 347 8 
 27 361 98 
 27 380 1 
 27 391 -15 
 27 393 84 
 27 409 55 
 27 420 29 
 27 424 -27 
 27 439 -95 
 27 440 34 
 27 450 1 
 27 451 12 
 27 453 55 
 27 457 -10 
 27 468 -58 
 27 470 29 
 27 500 17 
 28 40 91 
 28 45 -29 
 28 48 73 
 28 56 -36 
 28 61 86 
 28 80 -90 
 28 81 -77 
 28 92 59 
 28 109 94 
 28 122 -35 
 28 134 56 
 28 143 -90 
 28 157 14 
 28 159 -89 
 28 172 28 
 28 205 67 
 28 206 -84 
 28 217 42 
 28 220 -76 
 28 229 -1 
 28 235 34 
 28 240 72 
 28 243 42 
 28 245 -49 
 28 248 94 
 28 256 -36 
 28 260 11 
 28 278 -50 
 28 282 -50 
 28 293 10 
 28 309 -62 
 28 313 86 
 28 315 72 
 28 319 56 
 28 327 86 
 28 342 47 
 28 344 -34 
 28 347 70 
 28 356 87 
 28 360 40 
 28 365 16 
 28 377 -69 
 28 380 18 
 28 406 62 
 28 410 70 
 28 448 -88 
 28 459 -24 
 28 482 -5 
 29 33 -15 
 29 36 91 
 29 38 58 
 29 58 12 
 29 68 -25 
 29 79 -30 
 29 95 7 
 29 106 -93 
 29 110 54 
 29 112 47 
 29 115 -27 
 29 124 76 
 29 126 -81 
 29 135 97 
 29 149 74 
 29 222 66 
 29 234 -87 
 29 244 -84 
 29 283 -6 
 29 307 -46 
 29 310 -2 
 29 337 16 
 29 354 -34 
 29 363 -35 
 29 372 -23 
 29 399 97 
 29 400 26 
 29 409 -3 
 29 413 73 
 29 429 14 
 29 439 83 
 29 442 -62 
 29 443 62 
 29 447 -47 
 29 457 83 
 29 473 -16 
 29 481 -92 
 29 487 -81 
 29 488 2 
 30 38 91 
 30 44 58 
 30 50 68 
 30 60 15 
 30 62 78 
 30 76 -96 
 30 101 -74 
 30 105 -45 
 30 113 -35 
 30 114 -87 
 30 123 95 
 30 139 -29 
 30 154 -84 
 30 170 43 
 30 175 -66 
 30 194 -51 
 30 195 -46 
 30 199 -44 
 30 219 -38 
 30 234 -75 
 30 239 68 
 30 243 73 
 30 259 -49 
 30 268 25 
 30 296 -58 
 30 323 -38 
 30 348 52 
 30 349 -48 
 30 354 -23 
 30 362 98 
 30 369 39 
 30 390 -90 
 30 413 4 
 30 426 -40 
 30 428 7 
 30 441 10 
 30 442 66 
 30 449 -69 
 30 452 59 
 30 454 56 
 30 488 50 
 31 33 -43 
 31 42 63 
 31 48 51 
 31 59 61 
 31 70 -86 
 31 78 -29 
 31 87 43 
 31 111 10 
 31 113 36 
 31 114 12 
 31 115 91 
 31 116 73 
 31 119 -60 
 31 122 -90 
 31 130 87 
 31 133 -97 
 31 134 40 
 31 135 82 
 31 156 97 
 31 179 42 
 31 208 -12 
 31 235 50 
 31 257 62 
 31 260 79 
 31 262 8 
 31 267 30 
 31 301 -47 
 31 305 5 
 31 312 77 
 31 343 73 
 31 345 36 
 31 346 37 
 31 348 6 
 31 353 86 
 31 357 -96 
 31 359 -55 
 31 360 -37 
 31 364 -38 
 31 367 80 
 31 385 -85 
 31 393 -41 
 31 421 -79 
 31 444 44 
 31 445 -46 
 31 448 94 
 31 452 40 
 31 453 69 
 31 456 50 
 31 458 -69 
 31 459 -86 
 31 460 -27 
 31 465 5 
 31 474 52 
 31 492 -62 
 31 499 -31 
 32 61 69 
 32 65 -23 
 32 74 87 
 32 92 79 
 32 97 -93 
 32 117 98 
 32 128 30 
 32 133 39 
 32 137 -27 
 32 148 -22 
 32 155 -30 
 32 175 -44 
 32 195 -3 
 32 202 -71 
 32 203 22 
 32 219 -97 
 32 238 89 
 32 258 -3 
 32 269 -96 
 32 271 27 
 32 277 66 
 32 286 -36 
 32 289 -15 
 32 297 42 
 32 300 58 
 32 305 17 
 32 318 16 
 32 319 -73 
 32 334 59 
 32 364 -63 
 32 367 -24 
 32 377 -39 
 32 382 -94 
 32 391 -70 
 32 406 -70 
 32 425 1 
 32 431 73 
 32 437 -83 
 32 476 -93 
 32 487 -67 
 32 493 35 
 32 496 -10 
 32 497 -75 
 33 40 -55 
 33 41 32 
 33 51 19 
 33 72 54 
 33 84 58 
 33 117 31 
 33 142 18 
 33 157 33 
 33 172 83 
 33 193 -11 
 33 196 -17 
 33 205 -26 
 33 214 -56 
 33 215 -74 
 33 220 -95 
 33 226 -82 
 33 232 -11 
 33 252 -9 
 33 254 -11 
 33 257 44 
 33 260 5 
 33 266 -36 
 33 279 -73 
 33 280 35 
 33 285 81 
 33 287 -25 
 33 321 -23 
 33 340 37 
 33 342 -37 
 33 347 -30 
 33 372 -92 
 33 390 -11 
 33 394 35 
 33 395 67 
 33 402 -82 
 33 403 61 
 33 404 -39 
 33 408 42 
 33 409 76 
 33 410 -29 
 33 413 95 
 33 419 -20 
 33 422 16 
 33 426 90 
 33 429 -65 
 33 443 -76 
 33 449 89 
 33 470 41 
 33 472 -94 
 33 478 58 
 33 484 49 
 33 488 27 
 34 38 -75 
 34 67 15 
 34 80 55 
 34 87 63 
 34 92 90 
 34 96 25 
 34 107 63 
 34 115 73 
 34 123 10 
 34 125 -52 
 34 130 -92 
 34 134 61 
 34 137 -81 
 34 152 78 
 34 180 -51 
 34 181 -82 
 34 200 -24 
 34 212 -53 
 34 216 -10 
 34 217 -2 
 34 233 13 
 34 240 44 
 34 252 -19 
 34 291 88 
 34 320 32 
 34 323 4 
 34 334 22 
 34 342 -40 
 34 374 32 
 34 403 85 
 34 420 -16 
 34 424 99 
 34 453 64 
 34 478 23 
 34 481 -79 
 34 490 100 
 34 500 -14 
 35 40 -85 
 35 59 -54 
 35 71 -26 
 35 92 92 
 35 95 -35 
 35 98 -86 
 35 101 -1 
 35 106 1 
 35 107 -38 
 35 112 -64 
 35 113 -49 
 35 116 2 
 35 130 99 
 35 131 -80 
 35 133 5 
 35 141 93 
 35 142 7 
 35 159 -25 
 35 169 85 
 35 188 45 
 35 194 -72 
 35 199 -60 
 35 204 -80 
 35 243 27 
 35 249 -25 
 35 256 -78 
 35 262 81 
 35 265 -19 
 35 337 39 
 35 363 27 
 35 368 -63 
 35 377 -29 
 35 387 -16 
 35 397 87 
 35 405 -32 
 35 457 8 
 35 477 -83 
 35 482 -38 
 35 489 -13 
 35 490 -61 
 36 39 11 
 36 44 57 
 36 45 -72 
 36 71 31 
 36 77 -12 
 36 86 -73 
 36 113 -34 
 36 114 5 
 36 139 -44 
 36 141 16 
 36 149 1 
 36 159 8 
 36 162 -76 
